GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jspdemo,org.example.model.result,OperationStatusModel,17,0,0,0,7,0,5,0,5,0
jspdemo,org.example.model.result,ErrorMessages,184,0,0,0,22,0,4,0,4,0
jspdemo,org.example.model.result,RequestOperationStatus,24,0,0,0,2,0,1,0,1,0
jspdemo,org.example.model.result,ErrorMessage,23,0,0,0,10,0,5,0,5,0
jspdemo,org.example.model.result,RequestOperationName,74,0,0,0,2,0,1,0,1,0
jspdemo,org.example.security,AuthenticationFilter,72,6,0,0,20,3,2,1,2,1
jspdemo,org.example.security,SecurityConstants,3,0,0,0,1,0,1,0,1,0
jspdemo,org.example.security,CustomAuthenticationProvider,61,0,6,0,12,0,6,0,3,0
jspdemo,org.example.security,AuthorizationFilter,68,18,9,1,22,7,6,2,1,2
jspdemo,org.example.security,WebSecurity,0,104,0,0,0,22,0,4,0,4
jspdemo,org.example.security,UserPrincipal,57,0,0,0,13,0,15,0,15,0
jspdemo,org.example.config,SwaggerConfig,83,0,6,0,17,0,7,0,4,0
jspdemo,org.example.config,ORMConfig,5,0,0,0,3,0,2,0,2,0
jspdemo,org.example.config,CachingConfig,13,0,0,0,2,0,2,0,2,0
jspdemo,org.example.config,HibernateProperty,45,0,0,0,20,0,13,0,13,0
jspdemo,org.example.config,HibernateConfig,82,0,0,0,20,0,5,0,5,0
jspdemo,org.example.config,beanConfig,30,0,0,0,7,0,2,0,2,0
jspdemo,org.example.model.response,PrereqRespModel,13,0,0,0,3,0,3,0,3,0
jspdemo,org.example.model.response,StudentInfoResp,31,0,0,0,6,0,9,0,9,0
jspdemo,org.example.model.response,AdminStuResp,38,0,0,0,7,0,11,0,11,0
jspdemo,org.example.model.response,AdminApplicationResp,59,0,0,0,10,0,17,0,17,0
jspdemo,org.example.model.response,SemesterRespModel,24,0,0,0,5,0,7,0,7,0
jspdemo,org.example.model.response,CurEnrolledStudentRespModel,31,0,0,0,6,0,9,0,9,0
jspdemo,org.example.model.response,ProfessorRespModel,31,0,0,0,6,0,9,0,9,0
jspdemo,org.example.model.response,AdminCourseResp,38,0,0,0,7,0,11,0,11,0
jspdemo,org.example.model.response,ApplicationResp,52,0,0,0,9,0,15,0,15,0
jspdemo,org.example.model.response,LectureRespModel,24,0,0,0,5,0,7,0,7,0
jspdemo,org.example.model.response,UserSignupResponseModel,27,39,0,0,2,7,7,7,7,7
jspdemo,org.example.model.response,CourseRespModel,59,0,0,0,10,0,17,0,17,0
